r,p,y
20.6,-32.6,34.9
26.8,-35.1,34.6
18.6,-22.6,33.2
5.9,-12.8,32.0
4.8,-12.1,32.1
5.2,-13.1,32.4
5.3,-13.1,32.5
5.4,-23.0,33.2
23.5,-35.6,35.0
25.6,-33.4,35.0
15.0,-18.3,33.6
5.1,-13.0,32.5
4.9,-12.7,32.6
5.1,-13.0,32.6
5.2,-13.1,32.8
14.7,-28.8,34.8
26.2,-36.7,35.2
20.5,-25.9,34.4
6.3,-13.2,32.6
5.0,-12.6,32.9
5.2,-13.1,33.0
5.3,-13.2,33.1
3.8,-21.3,33.5
24.1,-36.1,35.5
25.4,-33.1,35.6
14.0,-17.9,34.2
5.4,-13.1,33.1
5.0,-12.4,33.1
5.5,-13.4,33.4
5.5,-13.4,33.4
16.0,-29.8,35.6
26.6,-36.9,35.7
21.2,-27.5,35.3
7.3,-14.4,33.2
5.0,-13.2,33.5
4.9,-13.0,33.6
5.2,-13.4,33.6
5.2,-13.5,33.8
18.1,-31.1,36.1
26.6,-36.7,36.2
20.2,-26.0,35.3
6.9,-14.2,33.3
4.9,-13.1,33.7
5.1,-13.3,33.9
5.3,-13.6,33.9
5.3,-13.9,34.0
23.5,-35.7,36.6
26.5,-34.9,36.4
16.5,-20.0,35.1
5.2,-13.6,34.0
4.9,-13.3,34.1
5.1,-13.7,34.2
5.2,-13.7,34.4
9.3,-26.5,36.1
25.0,-37.1,36.6
24.0,-30.9,36.4
9.4,-16.4,35.0
5.3,-13.7,34.4
5.1,-13.3,34.5
5.4,-13.7,34.5
5.4,-13.8,34.7
15.4,-29.9,36.7
26.2,-37.6,36.9
21.7,-28.2,36.4
8.4,-15.7,35.2
4.8,-13.6,34.8
4.8,-13.5,34.8
5.0,-13.8,34.9
5.1,-13.9,35.1
18.0,-31.4,37.3
26.3,-37.2,37.5
21.0,-27.2,36.5
6.3,-14.1,34.7
4.7,-13.4,35.1
4.9,-13.6,35.2
5.0,-13.8,35.3
4.5,-15.2,35.3
21.2,-33.9,37.8
26.5,-36.2,37.8
18.1,-21.9,36.4
5.7,-14.0,35.2
5.0,-13.6,35.3
5.3,-14.2,35.6
5.4,-14.2,35.5
3.3,-21.5,35.9
26.0,-37.8,37.7
23.1,-30.0,37.5
9.5,-16.8,36.2
5.5,-13.9,35.6
5.4,-13.8,35.7
5.7,-14.2,35.8
5.7,-14.3,35.9
19.1,-31.9,38.1
26.8,-36.9,38.3
19.4,-23.5,36.9
6.6,-14.4,35.7
5.3,-13.8,36.0
5.4,-14.0,36.1
5.6,-14.3,36.1
4.8,-16.2,36.3
23.3,-35.7,38.7
26.3,-35.5,38.7
16.7,-20.6,37.3
6.0,-14.5,36.1
5.3,-13.8,36.3
5.7,-14.8,36.5
5.7,-14.8,36.5
6.5,-25.2,37.4
24.6,-37.3,38.9
25.1,-33.3,38.8
12.5,-18.4,37.4
5.5,-14.3,36.5
5.3,-13.9,36.5
5.8,-15.1,36.8
5.9,-15.1,36.9
16.2,-31.1,38.8
26.6,-38.5,39.2
20.7,-27.2,38.3
7.5,-15.8,36.8
5.1,-14.3,37.0
5.1,-14.2,37.1
5.5,-15.1,37.2
5.5,-15.1,37.4
18.7,-32.6,39.5
26.4,-38.6,39.6
20.1,-25.9,38.4
6.3,-15.0,37.1
5.2,-14.5,37.4
5.4,-14.9,37.5
5.6,-15.2,37.5
3.6,-19.8,37.9
24.0,-37.5,40.1
25.5,-35.0,40.2
16.2,-21.2,38.8
5.4,-15.1,37.7
5.0,-14.4,37.7
5.4,-15.3,38.0
5.5,-15.3,38.0
6.3,-25.7,39.0
24.6,-38.0,40.3
25.0,-34.0,40.3
12.2,-19.0,38.9
5.6,-15.4,38.1
5.3,-14.8,38.1
5.5,-15.3,38.2
5.6,-15.4,38.3
19.1,-33.3,40.6
26.5,-37.8,40.9
18.9,-24.3,39.4
6.3,-15.4,38.3
5.3,-15.0,38.6
5.6,-15.5,38.7
5.6,-15.6,38.8
3.2,-21.4,39.1
24.3,-37.9,41.3
26.1,-36.5,41.4
18.0,-23.0,39.9
6.2,-15.6,38.8
5.2,-15.1,38.9
5.5,-15.7,39.0
5.5,-15.7,39.1
4.4,-24.3,39.6
24.9,-38.6,41.4
25.7,-35.7,41.5
14.6,-20.7,40.1
5.5,-15.7,39.0
5.2,-15.2,39.1
5.5,-16.0,39.4
5.6,-16.0,39.4
6.5,-26.4,40.4
25.9,-39.2,41.5
24.4,-33.3,41.5
8.7,-17.6,39.8
5.4,-15.7,39.4
5.3,-15.5,39.5
5.7,-16.2,39.7
5.7,-16.2,39.8
18.8,-33.9,42.0
26.3,-39.6,42.2
20.6,-28.7,41.3
7.4,-16.9,39.5
5.3,-15.7,39.8
5.5,-16.0,39.9
5.7,-16.4,40.0
4.7,-18.7,40.2
23.3,-37.7,42.6
26.3,-38.1,42.6
18.5,-23.9,41.2
5.7,-16.1,40.0
5.3,-15.4,40.1
5.7,-16.4,40.4
5.8,-16.4,40.4
7.4,-27.6,41.5
26.2,-40.0,42.5
22.5,-31.4,42.3
8.2,-17.8,40.5
5.6,-16.4,40.4
5.4,-15.8,40.4
5.7,-16.5,40.6
5.7,-16.7,40.8
23.3,-37.5,43.0
